"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%"
"81","PHI",82,"20112012",166,145,21,51,112.1,73.6,8.7,91.8,47.1,100.4,51.2
"82","T.B",82,"20132014",151,130,21,51,107.4,71.3,7.8,92.8,49.3,100.6,52.1
"83","PHI",82,"20092010",140,142,-2,50.9,112,72.1,7.4,92,50.5,99.4,49.7
"84","N.J",82,"20092010",144,130,14,51,97,74.5,7.6,92.6,49,100.2,54.3
"85","FLA",82,"20132014",143,177,-34,50.9,106.1,72.3,7.3,90.9,47.6,98.2,49.3
"86","CBJ",82,"20102011",139,159,-20,50.9,106.2,72.3,7.6,91.2,51,98.8,52.1
"87","ANA",82,"20082009",146,131,15,51,99,70.9,8.4,92.4,49.9,100.8,52.5
"88","S.J",48,"20122013",77,77,0,51.3,114.3,70,6.7,92.8,52.7,99.5,50.2
"89","VAN",48,"20122013",83,80,3,51.4,102.8,70.9,8,92.5,47.5,100.6,50.7
"90","BOS",82,"20102011",175,123,52,50.7,116.4,74.1,8.3,94.1,52.1,102.4,48.3
"91","STL",82,"20092010",143,142,1,50.8,105.6,71.4,8,92,49.2,99.9,49.4
"92","L.A",81,"20092010",136,131,5,50.8,101.6,69.9,7.8,92,49.4,99.8,52.2
"93","L.A",82,"20082009",113,136,-23,50.7,104.5,68.2,6.8,91.8,51.7,98.6,51
"94","PHX",82,"20132014",138,135,3,50.5,109.4,71.6,7.2,93,51.7,100.2,51.5
"95","BOS",81,"20082009",165,113,52,50.5,105,72.8,9,94,51.1,103,48.8
"96","BUF",82,"20102011",162,143,19,50.4,110.9,75.4,7.9,92.5,46.9,100.3,53.6
"97","DAL",82,"20132014",158,147,11,50.4,113.7,69.9,8.2,92.1,50.6,100.3,51.1
"98","PHX",48,"20122013",86,81,5,50.7,113.2,70.4,7.4,92.9,51.6,100.3,52.6
"99","TOR",81,"20082009",161,177,-16,50.4,115.5,70.1,8.5,90.3,49.6,98.7,54.2
"100","WPG",82,"20112012",156,154,2,50.3,111,70.2,8,91.9,49.1,99.8,51
"101","FLA",82,"20102011",139,159,-20,50.3,111.1,72.2,7.1,92,51.7,99.1,47.7
"102","CAR",82,"20132014",136,150,-14,50.3,115.5,70.7,6.8,92.6,52.5,99.4,51.7
"103","PHX",82,"20102011",156,132,24,50.3,112.6,70.7,8,93.3,52.6,101.3,48.1
"104","BUF",81,"20092010",151,142,9,50.3,108.5,74.5,7.8,92.5,46.5,100.3,51.7
